==============================================================================
DIRECTED-CONSTRUCTION CONTROL — btc_alt_spillover_v1
==============================================================================
  alt              : ETHUSDT (1,461 bars) from /home/claude/work/repo/data/real_multi_1d
  BTC driver       : BTCUSD (3,134 bars used, 1 excluded: 2025-01-07)
  surrogates       : 1000
  rotations each   : 1500
  barrier          : +3/-1.5 ATR, horizon 5, 25 bps, entry next_open

Whole alt bars are shuffled and re-based; the DATES and the BTC
driver are untouched, so the signal fires on the same calendar days.
On a series with no temporal structure there is nothing to time, so
a correct instrument must report percentiles uniform on [0, 100].

  surrogate 1: percentile 100.0  (124 trades)
  surrogate 151: percentile  50.8  (124 trades)
  surrogate 152: percentile  94.9  (124 trades)
  surrogate 153: percentile  17.5  (124 trades)
  surrogate 154: percentile  50.5  (124 trades)
  surrogate 155: percentile  80.6  (124 trades)
  surrogate 156: percentile  77.9  (124 trades)
  surrogate 157: percentile  44.5  (124 trades)
  surrogate 158: percentile  95.5  (124 trades)
  surrogate 159: percentile  97.5  (124 trades)
  surrogate 160: percentile   6.1  (124 trades)
  surrogate 161: percentile  75.1  (124 trades)
  surrogate 162: percentile  90.6  (124 trades)
  surrogate 163: percentile  94.3  (124 trades)
  surrogate 164: percentile   9.6  (124 trades)
  surrogate 165: percentile  34.1  (124 trades)
  surrogate 166: percentile  87.7  (124 trades)
  surrogate 167: percentile  62.6  (124 trades)
  surrogate 168: percentile  67.7  (124 trades)
  surrogate 169: percentile  78.5  (124 trades)
  surrogate 170: percentile  63.4  (124 trades)
  surrogate 171: percentile  34.6  (124 trades)
  surrogate 172: percentile  24.2  (124 trades)
  surrogate 173: percentile  93.3  (124 trades)
  surrogate 174: percentile  71.9  (124 trades)
  surrogate 175: percentile  83.2  (124 trades)
  surrogate 176: percentile  19.4  (124 trades)
  surrogate 177: percentile  29.3  (124 trades)
  surrogate 178: percentile  79.1  (124 trades)
  surrogate 179: percentile  41.5  (124 trades)
  surrogate 180: percentile   5.4  (124 trades)
  surrogate 181: percentile  20.7  (124 trades)
  surrogate 182: percentile  35.9  (124 trades)
  surrogate 183: percentile  41.5  (124 trades)
  surrogate 184: percentile  37.3  (124 trades)
  surrogate 185: percentile  89.3  (124 trades)
  surrogate 186: percentile   2.1  (124 trades)
  surrogate 187: percentile  36.6  (124 trades)
  surrogate 188: percentile  82.5  (124 trades)
  surrogate 189: percentile  20.5  (124 trades)
  surrogate 190: percentile  95.8  (124 trades)
  surrogate 191: percentile  94.0  (124 trades)
  surrogate 192: percentile  61.9  (124 trades)
  surrogate 193: percentile  60.5  (124 trades)
  surrogate 194: percentile  50.3  (124 trades)
  surrogate 195: percentile  21.2  (124 trades)
  surrogate 196: percentile   2.6  (124 trades)
  surrogate 197: percentile   5.2  (124 trades)
  surrogate 198: percentile  91.6  (124 trades)
  surrogate 199: percentile  38.7  (124 trades)
  surrogate 200: percentile  22.3  (124 trades)
  surrogate 201: percentile  78.6  (124 trades)
  surrogate 202: percentile  34.4  (124 trades)
  surrogate 203: percentile  76.1  (124 trades)
  surrogate 204: percentile  37.4  (124 trades)
  surrogate 205: percentile  47.9  (124 trades)
  surrogate 206: percentile  47.7  (124 trades)
  surrogate 207: percentile  46.5  (124 trades)
  surrogate 208: percentile  23.6  (124 trades)
  surrogate 209: percentile  20.1  (124 trades)
  surrogate 210: percentile  11.5  (124 trades)
  surrogate 211: percentile  27.9  (124 trades)
  surrogate 212: percentile  35.3  (124 trades)
  surrogate 213: percentile  67.5  (124 trades)
  surrogate 214: percentile  91.3  (124 trades)
  surrogate 215: percentile  23.8  (124 trades)
  surrogate 216: percentile  57.7  (124 trades)
  surrogate 217: percentile   1.6  (124 trades)
  surrogate 218: percentile  73.5  (124 trades)
  surrogate 219: percentile  10.4  (124 trades)
  surrogate 220: percentile  16.2  (124 trades)
  surrogate 221: percentile   7.9  (124 trades)
  surrogate 222: percentile   3.9  (124 trades)
  surrogate 223: percentile  36.2  (124 trades)
  surrogate 224: percentile  19.5  (124 trades)
  surrogate 225: percentile  52.9  (124 trades)
  surrogate 226: percentile  87.1  (124 trades)
  surrogate 227: percentile   0.6  (124 trades)
  surrogate 228: percentile  76.8  (124 trades)
  surrogate 229: percentile  54.9  (124 trades)
  surrogate 230: percentile  71.7  (124 trades)
  surrogate 231: percentile  98.1  (124 trades)
  surrogate 232: percentile  95.9  (124 trades)
  surrogate 233: percentile   9.3  (124 trades)
  surrogate 234: percentile  15.1  (124 trades)
  surrogate 235: percentile  78.3  (124 trades)
  surrogate 236: percentile  61.9  (124 trades)
  surrogate 237: percentile  72.7  (124 trades)
  surrogate 238: percentile  80.5  (124 trades)
  surrogate 239: percentile  20.3  (124 trades)
  surrogate 240: percentile  70.2  (124 trades)
  surrogate 241: percentile  91.7  (124 trades)
  surrogate 242: percentile  16.2  (124 trades)
  surrogate 243: percentile  86.8  (124 trades)
  surrogate 244: percentile  16.7  (124 trades)
  surrogate 245: percentile  65.4  (124 trades)
  surrogate 246: percentile  67.9  (124 trades)
  surrogate 247: percentile  56.1  (124 trades)
  surrogate 248: percentile  90.7  (124 trades)
  surrogate 249: percentile  37.8  (124 trades)
  surrogate 250: percentile  51.9  (124 trades)
  surrogate 251: percentile  90.2  (124 trades)
  surrogate 252: percentile  79.3  (124 trades)
  surrogate 253: percentile  54.0  (124 trades)
  surrogate 254: percentile  87.6  (124 trades)
  surrogate 255: percentile  69.9  (124 trades)
  surrogate 256: percentile   7.2  (124 trades)
  surrogate 257: percentile  42.1  (124 trades)
  surrogate 258: percentile  16.7  (124 trades)
  surrogate 259: percentile  32.7  (124 trades)
  surrogate 260: percentile   3.2  (124 trades)
  surrogate 261: percentile  45.1  (124 trades)
  surrogate 262: percentile  26.4  (124 trades)
  surrogate 263: percentile  24.9  (124 trades)
  surrogate 264: percentile  76.9  (124 trades)
  surrogate 265: percentile  32.7  (124 trades)
  surrogate 266: percentile  18.6  (124 trades)
  surrogate 267: percentile  80.9  (124 trades)
  surrogate 268: percentile  82.5  (124 trades)
  surrogate 269: percentile  59.4  (124 trades)
  surrogate 270: percentile  63.4  (124 trades)
  surrogate 271: percentile  37.5  (124 trades)
  surrogate 272: percentile  67.5  (124 trades)
  surrogate 273: percentile  80.9  (124 trades)
  surrogate 274: percentile  77.1  (124 trades)
  surrogate 275: percentile  32.1  (124 trades)
  surrogate 276: percentile   6.1  (124 trades)
  surrogate 277: percentile  64.4  (124 trades)
  surrogate 278: percentile  32.9  (124 trades)
  surrogate 279: percentile  56.7  (124 trades)
  surrogate 280: percentile  97.5  (124 trades)
  surrogate 281: percentile  57.3  (124 trades)
  surrogate 282: percentile  94.6  (124 trades)
  surrogate 283: percentile  39.4  (124 trades)
  surrogate 284: percentile  25.5  (124 trades)
  surrogate 285: percentile  84.4  (124 trades)
  surrogate 286: percentile  19.5  (124 trades)
  surrogate 287: percentile  33.5  (124 trades)
  surrogate 288: percentile  31.9  (124 trades)
  surrogate 289: percentile  24.1  (124 trades)
  surrogate 290: percentile  62.6  (124 trades)
  surrogate 291: percentile  94.7  (124 trades)
  surrogate 292: percentile  13.0  (124 trades)
  surrogate 293: percentile   3.5  (124 trades)
  surrogate 294: percentile  77.3  (124 trades)
  surrogate 295: percentile  40.9  (124 trades)
  surrogate 296: percentile  51.4  (124 trades)
  surrogate 297: percentile  95.0  (124 trades)
  surrogate 298: percentile  90.3  (124 trades)
  surrogate 299: percentile  53.4  (124 trades)
  surrogate 300: percentile  88.2  (124 trades)
  surrogate 301: percentile  29.1  (124 trades)
  surrogate 302: percentile  62.4  (124 trades)
  surrogate 303: percentile  55.9  (124 trades)
  surrogate 304: percentile  14.0  (124 trades)
  surrogate 305: percentile  37.9  (124 trades)
  surrogate 306: percentile  64.9  (124 trades)
  surrogate 307: percentile  86.3  (124 trades)
  surrogate 308: percentile  66.1  (124 trades)
  surrogate 309: percentile  75.3  (124 trades)
  surrogate 310: percentile  99.7  (124 trades)
  surrogate 311: percentile  52.5  (124 trades)
  surrogate 312: percentile  55.8  (124 trades)
  surrogate 313: percentile  66.7  (124 trades)
  surrogate 314: percentile  51.6  (124 trades)
  surrogate 315: percentile  63.8  (124 trades)
  surrogate 316: percentile  65.9  (124 trades)
  surrogate 317: percentile  72.6  (124 trades)
  surrogate 318: percentile  67.5  (124 trades)
  surrogate 319: percentile  30.5  (124 trades)
  surrogate 320: percentile  41.0  (124 trades)
  surrogate 321: percentile  25.6  (124 trades)
  surrogate 322: percentile  67.9  (124 trades)
  surrogate 323: percentile  45.6  (124 trades)
  surrogate 324: percentile  59.8  (124 trades)
  surrogate 325: percentile  36.2  (124 trades)
  surrogate 326: percentile  62.3  (124 trades)
  surrogate 327: percentile  67.3  (124 trades)
  surrogate 328: percentile  49.9  (124 trades)
  surrogate 329: percentile  85.4  (124 trades)
  surrogate 330: percentile  72.7  (124 trades)
  surrogate 331: percentile  73.6  (124 trades)
  surrogate 332: percentile   9.5  (124 trades)
  surrogate 333: percentile   0.8  (124 trades)
  surrogate 334: percentile  92.2  (124 trades)
  surrogate 335: percentile  15.1  (124 trades)
  surrogate 336: percentile  21.6  (124 trades)
  surrogate 337: percentile  89.8  (124 trades)
  surrogate 338: percentile  76.3  (124 trades)
  surrogate 339: percentile  79.9  (124 trades)
  surrogate 340: percentile  72.6  (124 trades)
  surrogate 341: percentile  98.9  (124 trades)
  surrogate 342: percentile  66.3  (124 trades)
  surrogate 343: percentile  88.8  (124 trades)
  surrogate 344: percentile  12.1  (124 trades)
  surrogate 345: percentile  77.7  (124 trades)
  surrogate 346: percentile  98.1  (124 trades)
  surrogate 347: percentile  40.7  (124 trades)
  surrogate 348: percentile  65.7  (124 trades)
  surrogate 349: percentile  28.2  (124 trades)
  surrogate 350: percentile  74.6  (124 trades)
  surrogate 351: percentile  91.4  (124 trades)
  surrogate 352: percentile  17.5  (124 trades)
  surrogate 353: percentile  54.5  (124 trades)
  surrogate 354: percentile  57.5  (124 trades)
  surrogate 355: percentile  67.0  (124 trades)
  surrogate 356: percentile   3.9  (124 trades)
  surrogate 357: percentile  17.4  (124 trades)
  surrogate 358: percentile  41.5  (124 trades)
  surrogate 359: percentile  21.8  (124 trades)
  surrogate 360: percentile   3.9  (124 trades)
  surrogate 361: percentile  78.2  (124 trades)
  surrogate 362: percentile  66.1  (124 trades)
  surrogate 363: percentile  95.1  (124 trades)
  surrogate 364: percentile  79.3  (124 trades)
  surrogate 365: percentile  18.7  (124 trades)
  surrogate 366: percentile  21.9  (124 trades)
  surrogate 367: percentile  96.3  (124 trades)
  surrogate 368: percentile  39.1  (124 trades)
  surrogate 369: percentile  37.5  (124 trades)
  surrogate 370: percentile  26.8  (124 trades)
  surrogate 371: percentile  59.3  (124 trades)
  surrogate 372: percentile  94.9  (124 trades)
  surrogate 373: percentile  46.9  (124 trades)
  surrogate 374: percentile  76.3  (124 trades)
  surrogate 375: percentile  76.1  (124 trades)
  surrogate 376: percentile  63.8  (124 trades)
  surrogate 377: percentile   8.9  (124 trades)
  surrogate 378: percentile  50.3  (124 trades)
  surrogate 379: percentile  24.9  (124 trades)
  surrogate 380: percentile  74.8  (124 trades)
  surrogate 381: percentile  94.5  (124 trades)
  surrogate 382: percentile  46.8  (124 trades)
  surrogate 383: percentile  82.9  (124 trades)
  surrogate 384: percentile  32.8  (124 trades)
  surrogate 385: percentile   7.9  (124 trades)
  surrogate 386: percentile  53.9  (124 trades)
  surrogate 387: percentile  10.1  (124 trades)
  surrogate 388: percentile  62.5  (124 trades)
  surrogate 389: percentile  24.7  (124 trades)
  surrogate 390: percentile  47.6  (124 trades)
  surrogate 391: percentile  15.3  (124 trades)
  surrogate 392: percentile  93.5  (124 trades)
  surrogate 393: percentile  44.0  (124 trades)
  surrogate 394: percentile  17.6  (124 trades)
  surrogate 395: percentile  67.8  (124 trades)
  surrogate 396: percentile  29.8  (124 trades)
  surrogate 397: percentile  84.2  (124 trades)
  surrogate 398: percentile   8.2  (124 trades)
  surrogate 399: percentile  62.6  (124 trades)
  surrogate 400: percentile  22.1  (124 trades)
  surrogate 401: percentile  83.0  (124 trades)
  surrogate 402: percentile  19.1  (124 trades)
  surrogate 403: percentile  59.9  (124 trades)
  surrogate 404: percentile  25.1  (124 trades)
  surrogate 405: percentile  57.7  (124 trades)
  surrogate 406: percentile  36.4  (124 trades)
  surrogate 407: percentile  25.5  (124 trades)
  surrogate 408: percentile  84.7  (124 trades)
  surrogate 409: percentile  57.7  (124 trades)
  surrogate 410: percentile   4.1  (124 trades)
  surrogate 411: percentile  60.3  (124 trades)
  surrogate 412: percentile  15.2  (124 trades)
  surrogate 413: percentile  96.8  (124 trades)
  surrogate 414: percentile  82.5  (124 trades)
  surrogate 415: percentile  59.1  (124 trades)
  surrogate 416: percentile  64.1  (124 trades)
  surrogate 417: percentile  41.6  (124 trades)
  surrogate 418: percentile  21.3  (124 trades)
  surrogate 419: percentile  68.1  (124 trades)
  surrogate 420: percentile  84.5  (124 trades)
  surrogate 421: percentile   1.3  (124 trades)
  surrogate 422: percentile  27.1  (124 trades)
  surrogate 423: percentile  84.9  (124 trades)
  surrogate 424: percentile  64.4  (124 trades)
  surrogate 425: percentile   3.3  (124 trades)
  surrogate 426: percentile  34.5  (124 trades)
  surrogate 427: percentile  38.1  (124 trades)
  surrogate 428: percentile  95.6  (124 trades)
  surrogate 429: percentile  43.9  (124 trades)
  surrogate 430: percentile  47.7  (124 trades)
  surrogate 431: percentile  69.5  (124 trades)
  surrogate 432: percentile  85.7  (124 trades)
  surrogate 433: percentile  23.4  (124 trades)
  surrogate 434: percentile  18.7  (124 trades)
  surrogate 435: percentile  24.3  (124 trades)
  surrogate 436: percentile  41.7  (124 trades)
  surrogate 437: percentile  26.7  (124 trades)
  surrogate 438: percentile  62.8  (124 trades)
  surrogate 439: percentile  43.9  (124 trades)
  surrogate 440: percentile  15.1  (124 trades)
  surrogate 441: percentile  75.0  (124 trades)
  surrogate 442: percentile   8.6  (124 trades)
  surrogate 443: percentile  69.0  (124 trades)
  surrogate 444: percentile  39.3  (124 trades)
  surrogate 445: percentile  68.7  (124 trades)
  surrogate 446: percentile  60.5  (124 trades)
  surrogate 447: percentile  51.7  (124 trades)
  surrogate 448: percentile  26.5  (124 trades)
  surrogate 449: percentile  37.4  (124 trades)
  surrogate 450: percentile  72.6  (124 trades)
  surrogate 451: percentile  31.9  (124 trades)
  surrogate 452: percentile  54.8  (124 trades)
  surrogate 453: percentile  34.3  (124 trades)
  surrogate 454: percentile   3.1  (124 trades)
  surrogate 455: percentile  77.5  (124 trades)
  surrogate 456: percentile  42.5  (124 trades)
  surrogate 457: percentile  69.9  (124 trades)
  surrogate 458: percentile  60.5  (124 trades)
  surrogate 459: percentile  20.2  (124 trades)
  surrogate 460: percentile  71.4  (124 trades)
  surrogate 461: percentile  60.3  (124 trades)
  surrogate 462: percentile  59.1  (124 trades)
  surrogate 463: percentile  97.9  (124 trades)
  surrogate 464: percentile  62.8  (124 trades)
  surrogate 465: percentile  95.2  (124 trades)
  surrogate 466: percentile  46.3  (124 trades)
  surrogate 467: percentile  87.0  (124 trades)
  surrogate 468: percentile  25.6  (124 trades)
  surrogate 469: percentile  26.6  (124 trades)
  surrogate 470: percentile  90.0  (124 trades)
  surrogate 471: percentile  93.8  (124 trades)
  surrogate 472: percentile  89.6  (124 trades)
  surrogate 473: percentile  15.8  (124 trades)
  surrogate 474: percentile  70.3  (124 trades)
  surrogate 475: percentile  82.9  (124 trades)
  surrogate 476: percentile  17.4  (124 trades)
  surrogate 477: percentile  71.0  (124 trades)
  surrogate 478: percentile  49.6  (124 trades)
  surrogate 479: percentile  85.5  (124 trades)
  surrogate 480: percentile  47.8  (124 trades)
  surrogate 481: percentile  19.3  (124 trades)
  surrogate 482: percentile  34.2  (124 trades)
  surrogate 483: percentile  96.7  (124 trades)
  surrogate 484: percentile 100.0  (124 trades)
  surrogate 485: percentile  95.9  (124 trades)
  surrogate 486: percentile  48.8  (124 trades)
  surrogate 487: percentile  43.5  (124 trades)
  surrogate 488: percentile   5.5  (124 trades)
  surrogate 489: percentile  16.4  (124 trades)
  surrogate 490: percentile  73.7  (124 trades)
  surrogate 491: percentile  97.9  (124 trades)
  surrogate 492: percentile  46.4  (124 trades)
  surrogate 493: percentile   2.8  (124 trades)
  surrogate 494: percentile  65.7  (124 trades)
  surrogate 495: percentile  91.5  (124 trades)
  surrogate 496: percentile   9.1  (124 trades)
  surrogate 497: percentile  79.6  (124 trades)
  surrogate 498: percentile   4.9  (124 trades)
  surrogate 499: percentile  23.2  (124 trades)
  surrogate 500: percentile  20.1  (124 trades)
  surrogate 501: percentile  61.4  (124 trades)
  surrogate 502: percentile  23.9  (124 trades)
  surrogate 503: percentile  16.8  (124 trades)
  surrogate 504: percentile   6.1  (124 trades)
  surrogate 505: percentile  59.5  (124 trades)
  surrogate 506: percentile  70.8  (124 trades)
  surrogate 507: percentile  62.9  (124 trades)
  surrogate 508: percentile  60.9  (124 trades)
  surrogate 509: percentile  96.9  (124 trades)
  surrogate 510: percentile   2.6  (124 trades)
  surrogate 511: percentile  90.1  (124 trades)
  surrogate 512: percentile  48.3  (124 trades)
  surrogate 513: percentile  62.7  (124 trades)
  surrogate 514: percentile  27.7  (124 trades)
  surrogate 515: percentile  23.8  (124 trades)
  surrogate 516: percentile  66.3  (124 trades)
  surrogate 517: percentile  78.0  (124 trades)
  surrogate 518: percentile  91.9  (124 trades)
  surrogate 519: percentile  63.7  (124 trades)
  surrogate 520: percentile  68.5  (124 trades)
  surrogate 521: percentile  59.5  (124 trades)
  surrogate 522: percentile  30.5  (124 trades)
  surrogate 523: percentile  11.9  (124 trades)
  surrogate 524: percentile  10.0  (124 trades)
  surrogate 525: percentile  21.9  (124 trades)
  surrogate 526: percentile  34.7  (124 trades)
  surrogate 527: percentile  75.7  (124 trades)
  surrogate 528: percentile  87.3  (124 trades)
  surrogate 529: percentile  86.5  (124 trades)
  surrogate 530: percentile  98.1  (124 trades)
  surrogate 531: percentile   1.5  (124 trades)
  surrogate 532: percentile   9.3  (124 trades)
  surrogate 533: percentile   7.5  (124 trades)
  surrogate 534: percentile  29.0  (124 trades)
  surrogate 535: percentile  58.5  (124 trades)
  surrogate 536: percentile  98.0  (124 trades)
  surrogate 537: percentile  93.5  (124 trades)
  surrogate 538: percentile  74.4  (124 trades)
  surrogate 539: percentile  62.8  (124 trades)
  surrogate 540: percentile  56.9  (124 trades)
  surrogate 541: percentile   1.2  (124 trades)
  surrogate 542: percentile  11.1  (124 trades)
  surrogate 543: percentile  28.2  (124 trades)
  surrogate 544: percentile  35.4  (124 trades)
  surrogate 545: percentile  76.9  (124 trades)
  surrogate 546: percentile  38.1  (124 trades)
  surrogate 547: percentile  36.0  (124 trades)
  surrogate 548: percentile  51.3  (124 trades)
  surrogate 549: percentile  43.6  (124 trades)
  surrogate 550: percentile  56.1  (124 trades)
  surrogate 551: percentile  93.3  (124 trades)
  surrogate 552: percentile  98.8  (124 trades)
  surrogate 553: percentile  59.9  (124 trades)
  surrogate 554: percentile  21.1  (124 trades)
  surrogate 555: percentile  60.2  (124 trades)
  surrogate 556: percentile  57.8  (124 trades)
  surrogate 557: percentile  80.4  (124 trades)
  surrogate 558: percentile  92.9  (124 trades)
  surrogate 559: percentile  81.3  (124 trades)
  surrogate 560: percentile  41.6  (124 trades)
  surrogate 561: percentile  25.4  (124 trades)
  surrogate 562: percentile  24.7  (124 trades)
  surrogate 563: percentile  94.1  (124 trades)
  surrogate 564: percentile  10.5  (124 trades)
  surrogate 565: percentile  83.0  (124 trades)
  surrogate 566: percentile   3.3  (124 trades)
  surrogate 567: percentile  29.9  (124 trades)
  surrogate 568: percentile  82.5  (124 trades)
  surrogate 569: percentile  22.5  (124 trades)
  surrogate 570: percentile  41.3  (124 trades)
  surrogate 571: percentile   0.5  (124 trades)
  surrogate 572: percentile  39.8  (124 trades)
  surrogate 573: percentile  70.8  (124 trades)
  surrogate 574: percentile  15.7  (124 trades)
  surrogate 575: percentile  85.3  (124 trades)
  surrogate 576: percentile  85.9  (124 trades)
  surrogate 577: percentile  30.5  (124 trades)
  surrogate 578: percentile  25.5  (124 trades)
  surrogate 579: percentile  84.7  (124 trades)
  surrogate 580: percentile  94.5  (124 trades)
  surrogate 581: percentile  97.5  (124 trades)
  surrogate 582: percentile  99.6  (124 trades)
  surrogate 583: percentile  57.2  (124 trades)
